District,District_xml,target,P_CODE,X_COORD,Y_COORD
Baki,baki,4,NC-3809-A32-002,43.42817,9.97389
Gebiley,gebiley,1,NC-3810-H03-006,43.62497,9.70577
Gebiley,gebiley,1,NC-3809-N32-001,43.43096,9.48451
Gebiley,gebiley,2,NC-3809-E32-001,43.41979,9.82811
Borama,borama,2,NC-3805-S19-001,42.83736,10.32536
Gebiley,gebiley,2,NC-3810-L04-004,43.6506,9.58135
Gebiley,gebiley,1,NC-3810-H03-004,43.60261,9.67089
Gebiley,gebiley,1,NC-3810-D03-001,43.6343,9.83717
Gebiley,gebiley,1,NC-3810-H07-002,43.78847,9.68675
Gebiley,gebiley,2,NC-3809-L33-001,43.4723,9.57017
Gebiley,gebiley,8,NC-3810-H03-008,43.62347,9.69712
Gebiley,gebiley,1,NC-3810-K03-001,43.6281,9.58817
Gebiley,gebiley,1,NC-3809-H31-002,43.40468,9.69242
Gebiley,gebiley,3,NC-3809-F33-001,43.4626,9.75454
Gebiley,gebiley,1,NC-3810-B03-001,43.63069,9.9346
Gebiley,gebiley,1,NC-3810-G06-001,43.73071,9.73158
Gebiley,gebiley,1,NC-3809-G31-001,43.3827,9.7306
Borama,borama,1,NC-3805-Y28-002,43.26803,10.07747
Gebiley,gebiley,11,NC-3809-H33-001,43.47742,9.68069
Gebiley,gebiley,1,NC-3809-F31-004,43.39045,9.75914
Gebiley,gebiley,1,NC-3810-M02-001,43.58858,9.50853
Gebiley,gebiley,1,NC-3810-L03-001,43.60645,9.55206
Zeylac,zeylac,7,NC-3801-V32-001,43.43947,11.17588
Gebiley,gebiley,4,NC-3810-J03-005,43.62233,9.63311
Gebiley,gebiley,1,NC-3810-K01-003,43.51118,9.59335
Gebiley,gebiley,1,NC-3810-H03-005,43.63309,9.6706
Gebiley,gebiley,2,NC-3810-H02-003,43.55388,9.68162
Zeylac,zeylac,6,NC-3805-F21-001,42.93613,10.77576
Gebiley,gebiley,3,NC-3809-P33-001,43.467,9.42661
Gebiley,gebiley,1,NC-3809-G31-004,43.38439,9.7284
Gebiley,gebiley,1,NC-3809-G32-001,43.4222,9.7209
Hargeysa,hargeysa,1,NC-3810-Y14-001,44.10294,9.04181
Hargeysa,hargeysa,1,NC-3810-M09-002,43.89458,9.51644
Hargeysa,hargeysa,2,NC-3810-H18-001,44.30869,9.69125
Hargeysa,hargeysa,1,NC-3810-Z17-001,44.25861,9.00803
Baki,baki,1,NC-3809-E30-001,43.35964,9.82039
Lughaye,lughaye,1,NC-3806-K12-002,44.04347,10.62016
Lughaye,lughaye,3,NC-3805-Q32-001,43.44947,10.4093
Hargeysa,hargeysa,3,NC-3810-L12-002,44.03019,9.54701
Lughaye,lughaye,3,NC-3806-G08-001,43.82382,10.7142
Lughaye,lughaye,20,NC-3805-K32-001,43.43364,10.60353
Hargeysa,hargeysa,2,NC-3810-K13-002,44.0573,9.59662
Lughaye,lughaye,1,NC-3806-K12-001,44.0425,10.62069
Hargeysa,hargeysa,1,NC-3810-Q03-001,43.60258,9.416
Lughaye,lughaye,9,NC-3806-L08-001,43.8527,10.55152
Hargeysa,hargeysa,1,NC-3810-S04-001,43.67037,9.33191
Hargeysa,hargeysa,1,NC-3810-N08-001,43.86077,9.49148
Hargeysa,hargeysa,1,NC-3810-P11-001,43.95467,9.43797
Lughaye,lughaye,8,NC-3806-F03-001,43.59125,10.75131
Lughaye,lughaye,8,NC-3806-H10-001,43.94315,10.68253
Hargeysa,hargeysa,1,NC-3810-H13-001,44.08689,9.67033
