admin2Name,admin2Pcod,admin2Name2
Adan Yabaal,SO2102,Adan Yabaal
Afgooye,SO2302,Afgooye
Afmadow,SO2802,Afmadow
Baardheere,SO2602,Baardheere
Badhaadhe,SO2803,Badhaadhe
Baki,SO1102,Baki
Balcad,SO2103,Balcad
Banadir,SO2201,Banadir
Bandarbeyla,SO1602,Bandarbeyla
Baraawe,SO2303,Baraawe
Baydhaba,SO2401,Baydhaba
Belet Weyne,SO2001,Belet Weyne
Belet Xaawo,SO2603,Belet Xaawo
Berbera,SO1202,Berbera
Borama,SO1101,Borama
Bossaso,SO1601,Bossaso
Bu'aale,SO2701,Bu'aale
Bulo Burto,SO2002,Bulo Burto
Burco,SO1301,Burco
Burtinle,SO1702,Burtinle
Buuhoodle,SO1302,Buuhoodle
Buur Hakaba,SO2402,Buur Hakaba
Cabudwaaq,SO1902,Cabudwaaq
Cadaado,SO1903,Cadaado
Cadale,SO2104,Cadale
Caluula,SO1603,Caluula
Caynabo,SO1402,Caynabo
Ceel Afweyn,SO1502,Ceel Afweyn
Ceel Barde,SO2502,Ceel Barde
Ceel Buur,SO1904,Ceel Buur
Ceel Dheer,SO1905,Ceel Dheer
Ceel Waaq,SO2604,Ceel Waaq
Ceerigaabo,SO1501,Ceerigaabo
Dhuusamarreeb,SO1901,Dhuusamarreeb
Diinsoor,SO2403,Diinsoor
Doolow,SO2605,Doolow
Eyl,SO1703,Eyl
Gaalkacyo,SO1801,Gaalkacyo
Galdogob,SO1802,Galdogob
Garbahaarey,SO2601,Garbahaarey
Garoowe,SO1701,Garoowe
Gebiley,SO1203,Gebiley
Hargeysa,SO1201,Hargeysa
Hobyo,SO1803,Hobyo
Iskushuban,SO1604,Iskushuban
Jalalaqsi,SO2003,Jalalaqsi
Jamaame,SO2804,Jamaame
Jariiban,SO1804,Jariiban
Jilib,SO2702,Jilib
Jowhar,SO2101,Jowhar
Kismaayo,SO2801,Kismaayo
Kurtunwaarey,SO2304,Kurtunwaarey
Laas Caanood,SO1401,Laas Caanood
Laasqoray,SO1503,Laasqoray
Lughaye,SO1103,Lughaye
Luuq,SO2606,Luuq
Marka,SO2301,Marka
Owdweyne,SO1303,Owdweyne
Qandala,SO1605,Qandala
Qansax Dheere,SO2404,Qansax Dheere
Qardho,SO1606,Qardho
Qoryooley,SO2305,Qoryooley
Rab Dhuure,SO2505,Rab Dhuure
Saakow,SO2703,Saakow
Sablaale,SO2306,Sablaale
Sheikh,SO1304,Sheikh
Taleex,SO1403,Taleex
Tayeeglow,SO2503,Tayeeglow
Waajid,SO2504,Waajid
Wanla Weyn,SO2307,Wanla Weyn
Xarardheere,SO1805,Xarardheere
Xudun,SO1404,Xudun
Xudur,SO2501,Xudur
Zeylac,SO1104,Zeylac
